1	10621	10
1	99020	7
1	231151	7
1	724137	13
1	724203	12
1	724219	6
1	724881	8
1	725121	6
1	725174	15
1	725056	6
1	725060	11
1	725076	7
1	725583	7
1	725531	9
1	725541	23
1	725683	18
1	725725	8
1	725865	16
1	725752	23
1	725979	16
1	725848	9
1	725883	8
1	726023	8
1	726030	7
1	726054	6
1	726115	10
1	726313	6
1	727016	19
1	727017	34
1	726902	8
1	726992	13
1	726993	6
1	727001	34
1	726904	56
1	727029	7
1	727022	6
1	727026	55
1	726998	8
1	726905	11
1	726997	6
1	726906	11
1	727023	9
1	726907	6
1	727037	9
1	726908	10
1	727038	11
1	726909	11
1	726912	7
1	727043	18
1	726924	48
1	727044	8
1	726925	9
1	726926	6
1	726927	7
1	726928	7
1	726929	23
1	726930	12
1	726931	8
1	726933	10
1	726934	8
1	726944	9
1	727024	6
1	726947	6
1	726950	8
1	726985	26
1	755892	10
1	756308	10
1	756259	13
1	758952	9
1	758845	12
1	758864	7
1	818025	25
1	818330	6
1	821634	8
1	821604	15
1	825831	25
1	826137	6
1	872787	13
1	884082	6
1	920002	12
1	934165	9
1	957970	10
1	957967	8
1	963911	8
1	964825	6
1	964820	6
1	987894	6
1	1004112	8
1	1004395	13
1	1035042	8
1	1059512	6
1	1070119	6
1	1080940	9
1	1085018	8
1	1085064	7
1	1092262	9
1	1092674	12
1	1092714	6
1	1103424	6
1	1176080	7
1	1176028	6
1	1229176	8
1	1229111	14
1	1258132	8
1	1260175	6
1	1303591	6
1	1362881	16
1	1362882	7
1	1362827	8
1	1366413	9
1	1378319	8
1	1378235	9
1	1470420	6
1	1501010	7
1	1503292	7
1	1521329	10
1	1532868	9
1	1584546	10
1	1584476	6
1	1598573	8
1	1647689	11
1	1648358	7
1	1649118	6
1	1649076	6
1	1649344	9
1	1651070	10
1	1658363	6
1	1681044	10
1	1705168	7
1	1727190	7
1	1767382	6
1	1767353	7
1	1795753	18
1	1835863	13
1	1855672	13
1	1860828	7
1	1860823	9
1	1865813	6
1	1866375	7
1	1869311	7
1	1869563	6
1	1880373	10
1	1886457	6
1	1900374	7
1	1925175	20
1	1925143	7
1	1925144	11
1	2045575	12
1	2049453	15
1	2049437	6
1	2052952	10
1	2101230	6
1	2241112	6
1	2256629	7
1	2375034	8
1	2441835	6
1	2446034	7
1	2454314	7
1	2470681	6
1	2477691	6
1	2533603	6
1	2533554	13
1	2563531	12
1	2583560	7
1	2583595	7
1	2583597	6
1	2583731	7
1	2583609	14
1	2583712	11
1	2583641	9
1	2583782	29
1	2583644	10
1	2583777	16
1	2583650	28
1	2583770	12
1	2583651	6
1	2583652	12
1	2583779	19
1	2583653	7
1	2583763	11
1	2583767	6
1	2583778	8
1	2583665	9
1	2583672	9
1	2583677	9
1	2583752	7
1	2583681	8
1	2583811	6
1	2583685	7
1	2583691	8
1	2583831	6
1	2583757	7
1	2583837	6
1	2583906	10
1	2583897	6
1	2583799	6
1	2583942	14
1	2583948	25
1	2583959	8
1	2583849	12
