1	10352	7
1	99116	12
1	124845	7
1	724137	6
1	724203	13
1	724138	7
1	724881	7
1	725126	12
1	725148	6
1	725046	7
1	725060	7
1	725166	6
1	725207	12
1	725604	6
1	725525	6
1	725568	7
1	725583	7
1	725531	11
1	725541	21
1	725683	12
1	725865	14
1	725752	17
1	725755	10
1	725979	8
1	725848	7
1	725986	7
1	726028	8
1	725894	6
1	725904	7
1	725906	6
1	726037	7
1	726115	9
1	726257	7
1	726219	6
1	726715	9
1	726779	6
1	727013	12
1	726902	8
1	726992	19
1	727023	13
1	726904	49
1	727029	8
1	727014	10
1	727017	30
1	727001	23
1	726998	12
1	726981	6
1	726905	10
1	726906	10
1	726907	7
1	727037	8
1	726908	9
1	726909	8
1	727038	11
1	727026	43
1	726923	7
1	726924	49
1	726925	6
1	726926	10
1	726927	8
1	727016	9
1	726929	27
1	726930	14
1	726931	9
1	726943	6
1	726944	11
1	726945	6
1	726985	19
1	727043	13
1	756308	8
1	756259	10
1	818025	21
1	818330	7
1	821634	8
1	821604	12
1	825831	21
1	834425	7
1	843248	11
1	843215	16
1	884091	9
1	884082	12
1	884426	9
1	919993	7
1	963716	9
1	964745	8
1	970549	7
1	984147	7
1	988595	7
1	1058963	6
1	1143140	7
1	1229111	10
1	1275311	6
1	1295886	6
1	1295880	10
1	1298998	13
1	1303591	7
1	1304415	8
1	1362881	7
1	1378319	6
1	1378235	9
1	1413217	7
1	1413382	8
1	1456678	12
1	1521353	6
1	1584546	6
1	1584476	7
1	1589352	14
1	1647689	8
1	1649118	6
1	1649344	8
1	1650602	8
1	1651070	11
1	1651077	14
1	1681044	11
1	1697849	8
1	1767382	7
1	1800624	7
1	1813865	14
1	1886528	8
1	1886457	12
1	1925175	17
1	1925143	13
1	1950659	9
1	2050152	7
1	2052982	6
1	2052915	7
1	2052958	8
1	2053393	6
1	2053318	6
1	2053429	6
1	2053325	51
1	2053329	7
1	2053456	6
1	2055755	12
1	2055631	8
1	2055663	10
1	2055670	10
1	2055681	9
1	2055688	21
1	2055692	6
1	2153567	9
1	2177227	7
1	2256629	6
1	2280159	6
1	2324498	10
1	2356603	9
1	2375034	6
1	2435348	6
1	2454255	9
1	2454128	6
1	2477691	7
1	2583475	6
1	2583560	6
1	2583724	7
1	2583595	9
1	2583691	6
1	2583737	6
1	2583746	6
1	2583763	20
1	2583705	6
1	2583779	23
1	2583764	12
1	2583782	69
1	2583775	10
1	2583650	33
1	2583783	9
1	2583651	13
1	2583652	18
1	2583653	17
1	2583654	6
1	2583785	15
1	2583798	16
1	2583664	13
1	2583797	6
1	2583670	6
1	2583672	10
1	2583673	10
1	2583675	15
1	2583677	29
1	2583777	8
1	2583684	16
1	2583685	15
1	2583689	6
1	2583831	11
1	2583778	7
1	2583700	14
1	2583850	11
1	2583807	8
1	2583755	6
1	2583890	6
1	2583906	19
1	2583799	16
1	2583801	14
1	2583942	19
1	2583805	16
1	2583948	33
1	2583959	12
1	2583963	7
1	2583849	14
1	2583851	8
1	2583852	6
1	2583982	21
1	2583991	20
1	2584149	6
1	2584200	6
1	2584209	6
1	2584396	6
1	2584275	6
1	2584285	21
1	2584358	7
1	2584654	9
1	2584523	10
1	2584533	19
1	2584550	31
1	2584655	8
1	2584684	6
1	2584555	23
1	2584648	6
1	2584788	6
1	2584686	7
1	2584763	28
1	2584824	12
1	2584706	9
1	2584723	29
1	2584726	6
1	2584727	16
1	2584876	34
1	2584845	6
1	2584886	8
1	2584754	6
1	2584761	22
1	2584766	43
1	2584770	6
1	2584897	7
1	2584901	6
1	2585054	31
1	2585192	6
1	2585082	8
1	2585090	6
1	2585127	6
1	2585157	18
1	2585306	20
1	2585190	9
1	2585201	11
1	2585205	6
1	2585386	14
1	2585292	6
1	2585303	22
1	2585310	31
1	2585312	12
1	2585313	8
1	2585318	8
1	2585438	8
1	2585325	7
1	2585336	16
1	2585338	6
1	2585463	10
1	2585479	8
